2026-06-13 18:32:33 | INFO | Starting SuperBPE training | data_root=/home/krrish/Desktop/Programming/indic-modernBERT/data/sangrah_dataset | vocab_sizes=[32768, 50368, 65536, 98304, 131072, 196608] | transition_fraction=0.9 | min_freq=2 | use_script_norm=True | use_nfkc=True
2026-06-13 18:32:35 | INFO | SuperBPE S1 vocab=32768 | 1/18 data-11.parquet | 174763 rows
2026-06-13 18:33:14 | INFO | SuperBPE S1 vocab=32768 | 2/18 data-12.parquet | 174763 rows
2026-06-13 18:33:50 | INFO | SuperBPE S1 vocab=32768 | 3/18 data-19.parquet | 174763 rows
2026-06-13 18:34:26 | INFO | SuperBPE S1 vocab=32768 | 4/18 data-20.parquet | 174763 rows
2026-06-13 18:35:00 | INFO | SuperBPE S1 vocab=32768 | 5/18 data-24.parquet | 174763 rows
2026-06-13 18:35:26 | INFO | SuperBPE S1 vocab=32768 | 6/18 data-33.parquet | 174763 rows
2026-06-13 18:35:50 | INFO | SuperBPE S1 vocab=32768 | 7/18 data-34.parquet | 174763 rows
2026-06-13 18:36:19 | INFO | SuperBPE S1 vocab=32768 | 8/18 data-35.parquet | 160929 rows
2026-06-13 18:36:50 | INFO | SuperBPE S1 vocab=32768 | 9/18 data-37.parquet | 174762 rows
2026-06-13 18:37:25 | INFO | SuperBPE S1 vocab=32768 | 10/18 data-40.parquet | 174762 rows
2026-06-13 18:38:00 | INFO | SuperBPE S1 vocab=32768 | 11/18 data-58.parquet | 174763 rows
2026-06-13 18:38:35 | INFO | SuperBPE S1 vocab=32768 | 12/18 data-67.parquet | 174762 rows
2026-06-13 18:39:09 | INFO | SuperBPE S1 vocab=32768 | 13/18 data-71.parquet | 174762 rows
2026-06-13 18:39:43 | INFO | SuperBPE S1 vocab=32768 | 14/18 data-73.parquet | 174763 rows
2026-06-13 18:40:16 | INFO | SuperBPE S1 vocab=32768 | 15/18 data-77.parquet | 174763 rows
2026-06-13 18:40:49 | INFO | SuperBPE S1 vocab=32768 | 16/18 data-79.parquet | 174763 rows
2026-06-13 18:41:21 | INFO | SuperBPE S1 vocab=32768 | 17/18 data-87.parquet | 174763 rows
2026-06-13 18:41:52 | INFO | SuperBPE S1 vocab=32768 | 18/18 data-94.parquet | 174762 rows
2026-06-13 18:43:52 | INFO | Completed SuperBPE stage 1 (subword) | pretokenization=subword | target_vocab_size=29440 | vocab_size=29440
2026-06-13 18:43:56 | INFO | SuperBPE S2 vocab=32768 | 1/18 data-11.parquet | 174763 rows
2026-06-13 18:44:26 | INFO | SuperBPE S2 vocab=32768 | 2/18 data-12.parquet | 174763 rows
2026-06-13 18:44:55 | INFO | SuperBPE S2 vocab=32768 | 3/18 data-19.parquet | 174763 rows
2026-06-13 18:45:24 | INFO | SuperBPE S2 vocab=32768 | 4/18 data-20.parquet | 174763 rows
2026-06-13 18:45:52 | INFO | SuperBPE S2 vocab=32768 | 5/18 data-24.parquet | 174763 rows
2026-06-13 18:46:17 | INFO | SuperBPE S2 vocab=32768 | 6/18 data-33.parquet | 174763 rows
2026-06-13 18:46:42 | INFO | SuperBPE S2 vocab=32768 | 7/18 data-34.parquet | 174763 rows
2026-06-13 18:47:12 | INFO | SuperBPE S2 vocab=32768 | 8/18 data-35.parquet | 160929 rows
2026-06-13 18:47:39 | INFO | SuperBPE S2 vocab=32768 | 9/18 data-37.parquet | 174762 rows
2026-06-13 18:48:08 | INFO | SuperBPE S2 vocab=32768 | 10/18 data-40.parquet | 174762 rows
2026-06-13 18:48:38 | INFO | SuperBPE S2 vocab=32768 | 11/18 data-58.parquet | 174763 rows
